date,Low,2,3,4,5,6,7,8,9,High,RF
192607,-0.0182,0.021,0.0146,0.003,0.0305,0.0152,0.0047,0.0203,0.0095,0.0218,0.22
192608,0.0749,0.0468,0.0327,0.0221,0.0281,0.0205,0.0264,0.0097,0.0468,-0.0044,0.25
192609,-0.0259,0.004,-0.0081,-0.0118,-0.0051,-0.0048,0.0153,-0.0003,-0.0111,-0.0296,0.23
192610,-0.0724,-0.053,-0.0455,-0.0244,-0.0221,-0.0272,-0.0312,-0.0258,-0.023,-0.0243,0.32
192611,-0.013,0.0529,0.0469,0.0506,0.0382,0.0323,0.0338,0.026,0.0135,-0.0241,0.31
192612,0.0602,0.0242,0.0243,0.0241,0.0186,0.0254,0.0075,0.0422,0.027,-0.0102,0.28
192701,0.0495,0.0033,-0.0127,0.0178,-0.0051,0.0067,0.0076,0.0231,0.0151,0.0168,0.25
192702,0.0689,0.0372,0.0551,0.0344,0.0515,0.0529,0.043,0.0716,0.0632,0.0928,0.26
192703,-0.07,-0.0251,-0.0063,-0.0116,-0.0124,-0.0161,-0.0285,-0.0002,0.0037,-0.0389,0.3
192704,0.0193,-0.0313,-0.0023,0.0102,0.0324,0.0203,-0.0119,0.0282,0.0083,-0.0053,0.25
192705,0.0822,0.0584,0.0443,0.0512,0.0933,0.0362,0.056,0.067,0.0632,0.0704,0.3
192706,-0.0291,0.0035,-0.0218,-0.0141,-0.0231,-0.0306,-0.0209,-0.0128,-0.0135,-0.0417,0.26
192707,0.0987,0.0678,0.0451,0.0609,0.0513,0.08,0.0594,0.0624,0.046,0.0268,0.3
192708,-0.0184,0.0048,0.0042,0.0004,0.0215,0.0262,0.0271,-0.0157,-0.0088,-0.0106,0.28
192709,0.0588,0.0162,0.0184,0.029,0.0382,0.0379,0.0319,0.0325,0.0249,0.0272,0.21
192710,-0.0423,-0.0543,-0.0354,-0.0352,-0.0386,-0.024,-0.0231,-0.0295,-0.0353,-0.0628,0.25
192711,0.1815,0.1497,0.1021,0.0728,0.0776,0.0742,0.0913,0.0702,0.0953,0.0687,0.21
192712,0.0388,0.0209,0.0265,0.0244,0.0151,0.0522,0.0485,0.034,0.0299,0.0232,0.22
192801,0.114,0.0228,0.0159,0.0085,0.0669,0.0133,0.0259,0.025,0.0293,0.0083,0.25
192802,-0.0138,-0.039,-0.0128,-0.0245,-0.0404,-0.0167,-0.0125,-0.0251,-0.0114,-0.029,0.33
192803,0.0991,0.0825,0.0382,0.08,0.0687,0.0759,0.0579,0.0657,0.0998,0.0741,0.29
192804,0.1076,0.1722,0.0441,0.0704,0.0733,0.0637,0.0862,0.0829,0.0561,0.1169,0.22
192805,0.0751,0.0719,0.0314,0.0198,0.0596,0.0437,0.0216,0.0108,0.0294,0.0217,0.32
192806,-0.081,-0.0684,-0.0644,-0.0608,-0.0407,-0.0556,-0.0663,-0.0752,-0.068,-0.123,0.31
192807,-0.0108,-0.0022,-0.0174,0.0032,0.0155,0.0106,0.0023,0.0127,0.004,0.0037,0.32
192808,0.0926,0.049,0.0451,0.035,0.0679,0.0568,0.0513,0.0737,0.079,0.0346,0.32
192809,0.0658,0.0558,0.0252,0.049,0.0455,0.0465,0.0451,0.0466,0.0426,0.0824,0.27
192810,0.0203,0.0136,0.0182,-0.0152,0.0122,0.0086,0.005,0.0131,0.0541,0.0341,0.41
192811,0.1429,0.1197,0.0796,0.0937,0.1062,0.1337,0.1328,0.1227,0.121,0.1132,0.38
